label | order_label | mu | deg_mu | nrd_mu | AutmuO_size | AutmuO_label | AutmuO_is_cyclic | AutmuO_generators | Gerby_gen 
text | text | integer[] | integer | integer | integer | text | boolean | integer[] | integer[]

6.30.1|6.30|{ 24, -17, -22, -9 }|1|30|4|C2^2|f|{ { 0, 3, -5, 1 }, { 0, 7, -15, 4 } }|{ 1, 0, 0, 0 }
6.42.1|6.42|{ 12, -22, -9, 7 }|1|42|4|C2^2|f|{ { 0, -1, -2, -1 }, { 0, -3, -12, -5 } }|{ 1, 0, 0, 0 }
6.66.1|6.66|{ -24, 35, 13, -19 }|1|66|2|C2|t|{ { 0, 11, 24, 7 } }|{ 1, 0, 0, 0 }
6.78.1|6.78|{ 30, -23, -37, 18 }|1|78|4|C2^2|f|{ { 0, 0, -3, 2 }, { 0, 7, -30, 15 } }|{ 1, 0, 0, 0 }
6.102.1|6.102|{ -99, 52, 146, -7 }|1|102|4|C2^2|f|{ { 0, 5, -11, 4 }, { 0, -47, 99, -32 } }|{ { 1, 0, 0, 0 } }
6.114.1|6.114|{ 2030, -1509, -1874, -677 }|1|114|2|C2|t|{ { 0, 521, -1353, 582 } }|{ { 1, 0, 0, 0 } }
6.138.1|6.138|{ 2, -25, -22, 43 }|1|138|4|C2^2|f|{ { 0, 5, 9, -2 }, { 0, -23, -45, 10 } }|{ { 1, 0, 0, 0 } }
6.174.1|6.174|{ 11, -22, -19, 19 }|1|174|4|C2^2|f|{ { 0, 1, 0, 1 }, { 0, -11, -30, 11 } }|{ { 1, 0, 0, 0 } }
6.186.1|6.186|{ -276, 357, 195, -140 }|1|186|2|C2|t|{ { 0, 81, 276, -137 } }|{ { 1, 0, 0, 0 } }
6.210.1|6.210|{ 201, -112, -290, 147 }|1|210|4|C2^2|f|{ { 0, 9, -23, 10 }, { 0, 89, -201, 74 } }|{ { 1, 0, 0, 0 } }
6.222.1|6.222|{ 11840, -10103, -13577, -144 }|1|222|4|C2^2|f|{ { 0, 142, 1686, -963 }, { 0, 1737, 20727, -11840 } }|{ { 1, 0, 0, 0 } }
6.246.1|6.246|{ 2531070, -3975077, -1087063, 912475 }|1|246|2|C2|t|{ { 0, -1444007, -2531070, 224237 } }|{ { 1, 0, 0, 0 } }
6.258.1|6.258|{ 153, -187, -119, 145 }|1|258|2|C2|t|{ { 0, -34, -153, 81 } }|{ { 1, 0, 0, 0 } }
6.282.1|6.282|{ 2158, 5052, 7757, -17125 }|1|282|4|C2^2|f|{ { 0, 790, 1641, -523 }, { 0, 7210, 14967, -4763 } }|{ { 1, 0, 0, 0 } }
6.318.1|6.318|{ 39, -23, -85, 30 }|1|318|4|C2^2|f|{ { 0, 2, -9, -5 }, { 0, 16, -69, -35 } }|{ { 1, 0, 0, 0 } }
6.330.1|6.330|{ 1575, -1553, -1597, 543 }|1|330|4|C2^2|f|{ { 0, 3, -175, -101 }, { 0, 22, -1575, -909 } }|{ { 1, 0, 0, 0 } }
6.354.1|6.354|{ -26, -12, -31, 95 }|1|354|2|C2|t|{ { 0, -38, -69, -5 } }|{ { 1, 0, 0, 0 } }
6.366.1|6.366|{ -558, 687, 429, -487 }|1|366|4|C2^2|f|{ { 0, -10, -45, 24 }, { 0, 129, 558, -295 } }|{ { 1, 0, 0, 0 } }
6.390.1|6.390|{ -151, 98, 155, 49 }|1|390|2|C2|t|{ { 0, -53, 102, -23 } }|{ { 1, 0, 0, 0 } }
10.30.1|10.30|{ -10, 20, -2, -1 }|1|30|4|C2^2|f|{ { 0, 3, -2, -1 }, { 0, -3, 20, 1 } }|{ { 1, 0, 0, 0 } }
10.70.1|10.70|{ 170, -19, -321, -17 }|1|70|4|C2^2|f|{ { 0, -9, -56, 17 }, { 0, -51, -340, 103 } }|{ { 1, 0, 0, 0 } }
10.110.1|10.110|{ -210, 420, -176, 73 }|1|110|2|C2|t|{ { 0, 73, 140, -13 } }|{ { 1, 0, 0, 0 } }
10.130.1|10.130|{ -40, 80, -7, -35 }|1|130|4|C2^2|f|{ { 0, 21, -40, -5 }, { 0, -105, 200, 13 } }|{ { 1, 0, 0, 0 } }
10.170.1|10.170|{ -60, 120, -43, 20 }|1|170|2|C2|t|{ { 0, 10, 20, -1 } }|{ { 1, 0, 0, 0 } }
10.190.1|10.190|{ 220, -440, 1, 74 }|1|190|4|C2^2|f|{ { 0, 18, -35, -4 }, { 0, 111, -220, -26 } }|{ { 1, 0, 0, 0 } }
10.210.1|10.210|{ 2240, -4480, 1702, 727 }|1|210|4|C2^2|f|{ { 0, 47, -98, 15 }, { 0, 2181, -4480, 649 } }|{ { 1, 0, 0, 0 } }
10.230.1|10.230|{ -170, 340, -104, 41 }|1|230|2|C2|t|{ { 0, 123, 340, -79 } }|{ { 1, 0, 0, 0 } }
10.290.1|10.290|{ 140, -95, -185, -49 }|1|290|2|C2|t|{ { 0, -147, -280, -17 } }|{ { 1, 0, 0, 0 } }
10.310.1|10.310|{ -760, 560, 960, 217 }|1|310|4|C2^2|f|{ { 0, -12, -25, 4 }, { 0, 651, 1520, -299 } }|{ { 1, 0, 0, 0 } }
10.330.1|10.330|{ -4520, 3077, 5963, -1649 }|1|330|4|C2^2|f|{ { 0, 651, -1190, -19 }, { 0, -4947, 9040, 119 } }|{ { 1, 0, 0, 0 } }
10.370.1|10.370|{ 500, -333, -667, -145 }|1|370|4|C2^2|f|{ { 0, -21, -40, -5 }, { 0, -435, -1000, -191 } }|{ { 1, 0, 0, 0 } }
10.390.1|10.390|{ -490, 980, -363, 164 }|1|390|4|C2^2|f|{ { 0, -45, -89, 11 }, { 0, 246, 490, -61 } }|{ { 1, 0, 0, 0 } }
14.42.1|14.42|{ -29, 38, 20, -35 }|1|42|4|C2^2|f|{ { 0, -6, 11, 1 }, { 0, 18, -35, -1 } }|{ { 1, 0, 0, 0 } }
14.70.1|14.70|{ 5, -19, 9, 56 }|1|70|4|C2^2|f|{ { 0, -3, 6, 1 }, { 0, -14, 28, 3 } }|{ { 1, 0, 0, 0 } }
14.154.1|14.154|{ 6, 59, -71, -46 }|1|154|2|C2|t|{ { 0, 130, 259, -33 } }|{ { 1, 0, 0, 0 } }
