label | i_square | j_square | discO | discB | gens_numerators | gens_denominators | area_numerator | area_denominator 
text | integer | integer | integer | integer | integer[] | integer[] | integer | integer

6.6|3|-1|6|6|{ { 1, 0, 0, 0 }, { 1, 1, 1, 1 }, { 1, -1, 1, -1 }, { 1, -1, -1, 1 } }|{ 1, 2, 2, 2 }|1|6
6.30|3|-1|6|30|{ { 1, 0, 0, 0 }, { 3, -1, -1, 3 }, { 2, -2, -1, 1 }, { 5, -5, -5, 5 } }|{ 1, 2, 1, 2 }|1|1
6.42|3|-1|6|42|{ { 1, 0, 0, 0 }, { 5, -3, -3, 5 }, { 3, -3, -1, 1 }, { 7, -7, -7, 7 } }|{ 1, 2, 2, 2 }|4|3
6.66|3|-1|6|66|{ { 1, 0, 0, 0 }, { 2, -1, -1, 2 }, { 1, -1, 0, 0 }, { 11, -11, -11, 11 } }|{ 1, 1, 1, 2 }|2|1
6.78|3|-1|6|78|{ { 1, 0, 0, 0 }, { 2, -1, -1, 2 }, { 4, -4, -3, 3 }, { 13, -13, -13, 13 } }|{ 1, 1, 1, 2 }|7|3
6.102|3|-1|6|102|{ { 1, 0, 0, 0 }, { 9, -7, -7, 9 }, { 5, -5, -3, 3 }, { 17, -17, -17, 17 } }|{ 1, 2, 2, 2 }|3|1
6.114|3|-1|6|114|{ { 1, 0, 0, 0 }, { 6, -5, -5, 6 }, { 4, -4, -3, 3 }, { 19, -19, -19, 19 } }|{ 1, 1, 1, 2 }|10|3
6.138|3|-1|6|138|{ { 1, 0, 0, 0 }, { 3, -2, -2, 3 }, { 1, -1, 0, 0 }, { 23, -23, -23, 23 } }|{ 1, 1, 1, 2 }|4|1
6.150|3|-1|6|150|{ { 1, 0, 0, 0 }, { 3, -1, -1, 3 }, { 11, -11, -9, 9 }, { 25, -25, -25, 25 } }|{ 1, 2, 2, 2 }|5|1
6.174|3|-1|6|174|{ { 1, 0, 0, 0 }, { 5, -3, -3, 5 }, { 5, -5, -3, 3 }, { 29, -29, -29, 29 } }|{ 1, 2, 2, 2 }|5|1
6.186|3|-1|6|186|{ { 1, 0, 0, 0 }, { 10, -9, -9, 10 }, { 7, -7, -6, 6 }, { 31, -31, -31, 31 } }|{ 1, 1, 1, 2 }|16|3
6.210|3|-1|6|210|{ { 1, 0, 0, 0 }, { 13, -12, -12, 13 }, { 14, -14, -13, 13 }, { 35, -35, -35, 35 } }|{ 1, 1, 1, 2 }|8|1
6.222|3|-1|6|222|{ { 1, 0, 0, 0 }, { 1, 0, 0, 1 }, { 21, -21, -19, 19 }, { 37, -37, -37, 37 } }|{ 1, 1, 2, 2 }|19|3
6.246|3|-1|6|246|{ { 1, 0, 0, 0 }, { 12, -11, -11, 12 }, { 19, -19, -18, 18 }, { 41, -41, -41, 41 } }|{ 1, 1, 1, 2 }|7|1
6.258|3|-1|6|258|{ { 1, 0, 0, 0 }, { 25, -23, -23, 25 }, { 9, -9, -7, 7 }, { 43, -43, -43, 43 } }|{ 1, 2, 2, 2 }|22|3
6.282|3|-1|6|282|{ { 1, 0, 0, 0 }, { 21, -19, -19, 21 }, { 2, -2, -1, 1 }, { 47, -47, -47, 47 } }|{ 1, 2, 1, 2 }|8|1
