label | order_label | mu | deg_mu | nrd_mu | AutmuO_size | AutmuO_label | AutmuO_is_cyclic | AutmuO_generators | Gerby_gen 
text | text | integer[] | integer | integer | integer | text | boolean | integer[] | integer[]

6.1|6|{ 2, -2, -3, 1 }|1|6|4|C2^2|f|{ { 0, 0, 1, -1 }, { 0, 0, -3, 1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
6.2|6|{ -6, 8, 4, 0 }|2|3|12|D6|f|{ { 0, -1, -2, -1 }, { 3, 1, 3, 1 } }|{ { -1, 2, 1, 0 }, { 2, -2, -1, 0 } }
6.6|6|{ 6, -6, -6, 0 }|6|1|8|D4|f|{ { 0, 0, 0, -1 }, { 1, 0, -1, 0 } }|{ { 1, -1, -1, 0 }, { -1, 1, 1, 0 } }
10.1|10|{ 10, -20, 7, -2 }|1|10|4|C2^2|f|{ { 0, 0, -2, -1 }, { 0, -3, -10, -2 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
10.2|10|{ -10, 20, -6, 0 }|2|5|4|C2^2|f|{ { 0, 0, -2, -1 }, { 0, 0, 5, 1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
10.5|10|{ -20, 40, -15, 0 }|5|2|4|C2^2|f|{ { 0, 0, -5, 2 }, { 0, 0, 4, -1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
14.1|14|{ 4, -5, -3, 7 }|1|14|2|C2|t|{ { 0, -2, 7, -1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
14.7|14|{ -7, 7, 7, -14 }|7|2|4|C2^2|f|{ { 0, 1, 0, 0 }, { 0, 0, -1, 0 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
14.14|14|{ 28, -14, -42, 56 }|14|1|8|D4|f|{ { 0, 4, 7, 1 }, { 1, 1, 2, 0 } }|{ { 2, -1, -3, 4 }, { -2, 1, 3, -4 } }
15.1|15|{ -1, 2, 0, -2 }|1|15|4|C2^2|f|{ { 0, -2, -3, 1 }, { 0, -1, 0, 1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
15.5|15|{ 15, -10, -20, 0 }|5|3|12|D6|f|{ { 0, -2, -5, -1 }, { 6, 0, -3, -1 } }|{ { 2, -1, -2, 0 }, { -1, 1, 2, 0 } }
21.1|21|{ -2, 4, -21, 11 }|1|21|2|C2|t|{ { 0, 4, -21, 1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
21.3|21|{ 0, 0, 84, -51 }|3|7|4|C2^2|f|{ { 0, 0, 9, -2 }, { 0, 0, 14, -3 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
21.21|21|{ 0, 0, -42, 21 }|21|1|8|D4|f|{ { 0, -1, 0, 0 }, { 1, 0, -1, 0 } }|{ { 0, 0, -2, 1 }, { 0, 0, 2, -1 } }
22.1|22|{ -22, 44, -17, 2 }|1|22|4|C2^2|f|{ { 0, 0, -4, 1 }, { 0, 3, 22, -4 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
22.2|22|{ 22, -44, 16, 0 }|2|11|4|C2^2|f|{ { 0, 0, -4, 1 }, { 0, 0, -11, 2 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
22.22|22|{ 110, -220, 66, 22 }|22|1|8|D4|f|{ { 0, 9, -22, 1 }, { 6, 3, -10, 1 } }|{ { 5, -10, 3, 1 }, { -5, 10, -3, -1 } }
26.1|26|{ -26, 52, -7, 4 }|1|26|2|C2|t|{ { 0, 10, 26, 1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
26.2|26|{ 26, -52, 6, 0 }|2|13|4|C2^2|f|{ { 0, 0, -4, 1 }, { 0, 0, -13, 2 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
26.13|26|{ 78, -156, 13, 0 }|13|2|4|C2^2|f|{ { 0, 0, -13, -3 }, { 0, 0, -6, -1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
33.1|33|{ -1, 2, -33, 19 }|1|33|2|C2|t|{ { 0, 2, -33, 5 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
33.11|33|{ 0, 0, 132, -77 }|11|3|12|D6|f|{ { 0, 0, 11, -2 }, { 3, 0, 6, -1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
33.33|33|{ 0, 0, 66, -33 }|33|1|8|D4|f|{ { 0, -1, 0, 0 }, { 1, 0, 1, 0 } }|{ { 0, 0, 2, -1 }, { 0, 0, -2, 1 } }
34.1|34|{ -34, 68, -25, 6 }|1|34|2|C2|t|{ { 0, 9, 34, 2 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
34.2|34|{ -34, 68, -22, -4 }|2|17|2|C2|t|{ { 0, -3, 17, -2 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
35.1|35|{ -39, 57, 21, -70 }|1|35|2|C2|t|{ { 0, -35, 8, 1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
35.5|35|{ 35, -50, -20, 70 }|5|7|4|C2^2|f|{ { 0, 5, 0, 1 }, { 0, 7, 0, 1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
38.1|38|{ 2, -4, 0, 1 }|1|38|4|C2^2|f|{ { 0, 0, 1, 0 }, { 0, -2, 0, 1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
38.2|38|{ -2, 4, 0, 0 }|2|19|4|C2^2|f|{ { 0, 0, 1, 0 }, { 0, 1, 0, 0 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
38.38|38|{ 38, -76, 228, -114 }|38|1|8|D4|f|{ { 0, -6, 19, -1 }, { 1, -1, 3, 0 } }|{ { 1, -2, 6, -3 }, { -1, 2, -6, 3 } }
39.1|39|{ -1, 2, 0, -2 }|1|39|2|C2|t|{ { 0, -1, 0, 1 } }|{ { 1, 0, 0, 0 }, { -1, 0, 0, 0 } }
